periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,1.9,0.0,3.2,0.0,0.0,3.2,1.3,0.0,0,1.0000
2,Feb,1.8,0.0,1.8,0.0,0.0,1.8,1.3,0.0,0,1.0000
3,Mar,1.9,0.0,2.5,0.0,0.0,2.5,1.8,0.0,0,1.0000
4,Apr,1.9,0.0,2.7,0.0,0.0,2.7,2.7,0.0,1,1.0000
5,Mei,1.9,0.0,2.9,0.0,0.0,2.9,3.7,0.0,1,1.0000
6,Jun,1.9,0.0,3.4,0.0,0.0,3.4,5.2,0.0,1,1.0000
7,Jul,1.9,0.0,2.7,0.0,0.0,2.7,5.9,0.0,1,1.0000
8,Agu,1.9,0.0,2.1,0.0,0.0,2.1,6.1,0.0,1,1.0000
9,Sep,1.9,0.0,4.7,0.0,0.0,4.7,8.9,0.0,1,1.0000
10,Okt,1.9,0.0,0.7,0.0,0.0,0.7,7.7,0.0,1,1.0000
11,Nov,1.9,0.0,1.7,0.0,0.0,1.7,7.5,0.0,1,1.0000
12,Des,1.9,0.0,1.1,0.0,0.0,1.1,6.6,0.0,1,1.0000
