periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,3.0,0.0,5.0,0.0,0.0,5.0,2.0,0.0,0,1.0000
2,Feb,2.7,0.0,2.7,0.0,0.0,2.7,2.0,0.0,0,1.0000
3,Mar,3.0,0.0,3.9,0.0,0.0,3.9,2.8,0.0,0,1.0000
4,Apr,2.9,0.0,4.2,0.0,0.0,4.2,4.1,0.0,1,1.0000
5,Mei,3.0,0.0,4.6,0.0,0.0,4.6,5.7,0.0,1,1.0000
6,Jun,2.9,0.0,5.2,0.0,0.0,5.2,8.0,0.0,1,1.0000
7,Jul,3.0,0.0,4.2,0.0,0.0,4.2,9.2,0.0,1,1.0000
8,Agu,3.0,0.0,3.2,0.0,0.0,3.2,9.4,0.0,1,1.0000
9,Sep,2.9,0.0,7.3,0.0,0.0,7.3,13.8,0.0,1,1.0000
10,Okt,3.0,0.0,1.0,0.0,0.0,1.0,11.8,0.0,1,1.0000
11,Nov,2.9,0.0,2.6,0.0,0.0,2.6,11.5,0.0,1,1.0000
12,Des,3.0,0.0,1.7,0.0,0.0,1.7,10.2,0.0,1,1.0000
