periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,2.0,0.0,3.4,0.0,0.0,3.4,1.3,0.0,0,1.0000
2,Feb,2.0,0.0,2.0,0.0,0.0,2.0,1.3,0.0,0,1.0000
3,Mar,2.0,0.0,2.6,0.0,0.0,2.6,1.9,0.0,0,1.0000
4,Apr,2.0,0.0,2.9,0.0,0.0,2.9,2.8,0.0,1,1.0000
5,Mei,2.0,0.0,3.0,0.0,0.0,3.0,3.8,0.0,1,1.0000
6,Jun,2.0,0.0,3.5,0.0,0.0,3.5,5.4,0.0,1,1.0000
7,Jul,2.0,0.0,2.8,0.0,0.0,2.8,6.2,0.0,1,1.0000
8,Agu,2.0,0.0,2.1,0.0,0.0,2.1,6.3,0.0,1,1.0000
9,Sep,2.0,0.0,5.0,0.0,0.0,5.0,9.3,0.0,1,1.0000
10,Okt,2.0,0.0,0.6,0.0,0.0,0.6,8.0,0.0,1,1.0000
11,Nov,2.0,0.0,1.7,0.0,0.0,1.7,7.7,0.0,1,1.0000
12,Des,2.0,0.0,1.1,0.0,0.0,1.1,6.9,0.0,1,1.0000
